dz_code,prov_code,prov_name,city_name,n_persons,n_surnames,hhi,top1_surname,top1_share,top2_surname,top2_share,top3_surname,top3_share,top4_surname,top4_share,top5_surname,top5_share
4505,45,广西壮族自治区,北海市,2198,108,0.039251,陈,0.10828,李,0.062329,林,0.0596,黄,0.05596,吴,0.053685
4506,45,广西壮族自治区,防城港市,1298,90,0.045002,黄,0.122496,李,0.084746,陈,0.082435,吴,0.051618,苏,0.046225
4507,45,广西壮族自治区,钦州市,5428,136,0.052274,黄,0.180914,张,0.051953,陈,0.051769,李,0.048084,梁,0.046426
4508,45,广西壮族自治区,贵港市,6642,135,0.042784,黄,0.109756,杨,0.077989,梁,0.062632,李,0.061427,覃,0.059771
4509,45,广西壮族自治区,玉林市,8614,148,0.040741,陈,0.107616,李,0.094962,梁,0.070467,黄,0.058742,庞,0.052241
4510,45,广西壮族自治区,百色市,5552,144,0.08063,黄,0.235771,李,0.072586,杨,0.060159,陆,0.053674,农,0.049532
4511,45,广西壮族自治区,贺州市,2439,108,0.038066,黄,0.101271,李,0.073801,杨,0.066011,陈,0.051251,梁,0.050841
4512,45,广西壮族自治区,河池市,3931,114,0.053464,黄,0.148054,覃,0.089036,吴,0.067667,兰,0.055202,蓝,0.051895
4513,45,广西壮族自治区,来宾市,3183,109,0.045525,黄,0.118442,覃,0.079485,李,0.065033,陈,0.054037,罗,0.053409
4514,45,广西壮族自治区,崇左市,3638,123,0.061867,黄,0.180594,农,0.088785,李,0.067894,梁,0.066245,陆,0.0547
4601,46,海南省,海口市,7611,226,0.059221,王,0.134805,陈,0.127184,吴,0.106425,林,0.052161,李,0.051504
4602,46,海南省,三亚市,2066,124,0.04578,陈,0.131655,林,0.080348,王,0.073572,李,0.061955,黄,0.039206
4690,46,海南省,海南直辖县市,26145,231,0.052376,王,0.123045,陈,0.115318,符,0.074699,李,0.064372,黄,0.061006
5001,50,重庆市,重庆城区,21168,372,0.030142,张,0.073838,李,0.066563,陈,0.065476,刘,0.061413,王,0.060847
5002,50,重庆市,重庆郊县,29879,385,0.028266,李,0.070786,陈,0.061883,刘,0.058369,张,0.056461,王,0.055658
5003,50,重庆市,重庆市,8304,261,0.031991,李,0.072616,张,0.067437,陈,0.063584,王,0.062018,刘,0.05407
5101,51,四川省,成都市,12190,318,0.032203,李,0.080148,张,0.067842,刘,0.063331,王,0.061116,陈,0.058326
5103,51,四川省,自贡市,3745,169,0.032298,李,0.073698,陈,0.070227,张,0.069159,刘,0.064352,王,0.057677
5104,51,四川省,攀枝花市,963,123,0.034119,王,0.09242,李,0.076843,张,0.057113,杨,0.055036,陈,0.051921
5105,51,四川省,泸州市,3864,181,0.033589,王,0.085663,李,0.082557,陈,0.065217,刘,0.0603,张,0.050725
5106,51,四川省,德阳市,5057,197,0.03247,刘,0.078901,李,0.071979,张,0.069606,陈,0.062883,王,0.049832
5107,51,四川省,绵阳市,5679,211,0.032943,李,0.0891,王,0.080472,刘,0.058989,张,0.055644,陈,0.049481
5108,51,四川省,广元市,2900,157,0.040504,李,0.098276,王,0.092759,杨,0.079655,张,0.061379,何,0.047241
5109,51,四川省,遂宁市,3845,164,0.032579,王,0.069961,李,0.06684,刘,0.06502,陈,0.063979,杨,0.063199
5110,51,四川省,内江市,4746,176,0.034114,刘,0.082807,张,0.073325,李,0.065529,陈,0.060261,王,0.051833
5111,51,四川省,乐山市,3979,199,0.030117,李,0.075396,张,0.07238,杨,0.066097,王,0.056296,陈,0.042473
5113,51,四川省,南充市,7014,183,0.035045,李,0.08982,王,0.073425,张,0.062019,何,0.061306,陈,0.052181
5114,51,四川省,眉山市,4159,171,0.036185,李,0.09257,王,0.07622,陈,0.062034,刘,0.05987,张,0.05963
5115,51,四川省,宜宾市,5283,195,0.031902,李,0.083665,陈,0.061897,刘,0.059057,王,0.057543,罗,0.051864
5116,51,四川省,广安市,4518,173,0.033727,李,0.080788,陈,0.068614,刘,0.065294,张,0.060868,杨,0.060646
5117,51,四川省,达州市,6868,195,0.034093,李,0.08809,王,0.071637,张,0.070909,刘,0.058678,杨,0.053291
5118,51,四川省,雅安市,1397,122,0.048504,李,0.130279,王,0.088762,张,0.088762,杨,0.073729,陈,0.040802
5119,51,四川省,巴中市,3657,151,0.034526,张,0.081214,王,0.068909,李,0.065354,杨,0.062346,何,0.053596
5120,51,四川省,资阳市,6067,168,0.033781,李,0.081094,陈,0.067908,刘,0.062304,杨,0.060656,张,0.059337
5132,51,四川省,阿坝藏族羌族自治州,1591,273,0.031735,无,0.109994,王,0.087995,李,0.049026,刘,0.038341,张,0.037084
5133,51,四川省,甘孜藏族自治州,2165,442,0.070465,无,0.255427,李,0.025404,刘,0.020785,王,0.019861,陈,0.017552
5134,51,四川省,凉山彝族自治州,7699,659,0.017073,王,0.051825,李,0.050396,张,0.043902,杨,0.041824,刘,0.039616
5201,52,贵州省,贵阳市,7036,255,0.033147,王,0.082007,李,0.075895,陈,0.064241,刘,0.05813,张,0.056993
5202,52,贵州省,六盘水市,4683,195,0.031038,王,0.073671,李,0.069186,陈,0.062994,刘,0.060218,张,0.056588
5203,52,贵州省,遵义市,13529,260,0.031524,王,0.083007,张,0.069776,李,0.066819,陈,0.060093,杨,0.052997
5204,52,贵州省,安顺市,3377,168,0.039001,王,0.0992,杨,0.080249,张,0.067516,陈,0.065147,罗,0.057151
5222,52,贵州省,铜仁地区,6164,177,0.038927,杨,0.126055,张,0.06976,刘,0.051265,王,0.044776,吴,0.044452
5223,52,贵州省,黔西南布依族苗族自治州,4670,184,0.038056,王,0.104925,张,0.065739,李,0.064454,杨,0.06167,陈,0.050749
5224,52,贵州省,毕节地区,11576,224,0.033786,王,0.07481,张,0.072132,李,0.071441,杨,0.065826,陈,0.059261
5226,52,贵州省,黔东南苗族侗族自治州,7953,172,0.076072,杨,0.203697,吴,0.10474,王,0.07582,龙,0.074563,潘,0.065133
5227,52,贵州省,黔南布依族苗族自治州,6917,207,0.040046,罗,0.089634,王,0.083273,杨,0.073587,陈,0.071418,李,0.048431
5301,53,云南省,昆明市,17491,382,0.046012,李,0.143102,张,0.089475,杨,0.07158,王,0.057915,刘,0.046195
5303,53,云南省,曲靖市,11673,252,0.036509,李,0.11034,张,0.074874,王,0.067506,刘,0.060139,陈,0.052086
5304,53,云南省,玉溪市,8802,242,0.046246,李,0.154851,张,0.073392,杨,0.064644,王,0.056237,普,0.05067
5305,53,云南省,保山市,7675,182,0.076626,杨,0.210033,李,0.108274,赵,0.074267,张,0.070358,王,0.068404
